codes,https://huggingface.co/datasets/cis-lmu/GlotCC-V1,comment (https://iso639-3.sil.org/code/prs)
crk-Cans,2/2,
crk-Latn,,
crl-Cans,2/2,
crn-Latn,13/13,
crs-Latn,,
crx-Latn,4/4,
csb-Latn,,
csw-Latn,6/6,
csy-Latn,,
cta-Latn,3/3,
ctd-Latn,,
ctu-Latn,2/2,
cub-Latn,5/5,
cuk-Latn,,
cut-Latn,18/18,
cwe-Latn,1/1,
cwt-Latn,2/2,
cya-Latn,4/4,
cym-Latn,,
czt-Latn,4/4,
dad-Latn,20/20,
dag-Latn,0/20,only keep wikipedia --the training data of dag is not very clean
dah-Latn,7/7,
dak-Latn,16/16,
dan-Latn,,
dar-Cyrl,,
ddg-Latn,1/1,
ded-Latn,4/4,
deu-Latn,20/20,
dga-Latn,20/20,
dgc-Latn,10/10,
dgz-Latn,13/13,
dhg-Latn,1/1,
dhm-Latn,1/1,
dhv-Latn,3/3,
did-Latn,1/1,
dik-Latn,20/20,
diq-Latn,,
dis-Latn,1/1,
div-Thaa,,
dje-Latn,5/5,
djk-Latn,7/7,
djr-Latn,1/1,
dng-Cyrl,,
dob-Latn,,
doi-Deva,,
dop-Latn,,
dru-Latn,4/4,
dsb-Latn,,
dtp-Latn,,
dts-Latn,2/2,
dua-Latn,,
dwr-Latn,0/17,noise: tags #
dww-Latn,1/1,
dyi-Latn,2/2,
dyo-Latn,1/1,
dyu-Latn,,
dzo-Tibt,,
efi-Latn,,
ekk-Latn,,
eko-Latn,4/4,
ell-Grek,,
emi-Latn,20/20,
eml-Latn,,
emp-Latn,4/4,
eng-Latn,20/20,
enl-Latn,2/2,
enm-Latn,?,remove those that every words start with #
enq-Latn,20/20,
epo-Latn,,
eri-Latn,3/3,
esk-Latn,,
esu-Latn,,
etr-Latn,,
eus-Latn,,
eve-Cyrl,,
ewe-Latn,,
ewo-Latn,4/4,
ext-Latn,,
eza-Latn,1/1,
faa-Latn,6/6,
fai-Latn,5/5,
fao-Latn,,
fas-Arab,20/20,
fat-Latn,2/2,
ffm-Latn,20/20,content in fuc: https://contafrica.org/fr/index.php?/contes/conte-nat/sambayel-gujjo-tanum-pennowo
fij-Latn,,
fil-Latn,,
fin-Latn,20/20,
fit-Latn,,
fkv-Latn,,
fon-Latn,20/20,
for-Latn,,
fra-Latn,,
fro-Latn,,
frp-Latn,,
frr-Latn,,
fry-Latn,,
fub-Latn,,
fud-Latn,3/3,
fue-Latn,,
fuf-Latn,,
fuh-Latn,20/20,
fuq-Latn,0/1,noise
fur-Latn,,
fuv-Latn,,
gaa-Latn,,
gag-Latn,,
gah-Latn,,
gai-Latn,1/1,
gam-Latn,16/16,
gaw-Latn,20/20,
gaz-Latn,,
gbi-Latn,2/2,
gcf-Latn,,
gcr-Latn,,
gdg-Latn,13/13,
gdn-Latn,19/19,
geb-Latn,18/18,
gfk-Latn,,
ghs-Latn,20/20,
gil-Latn,,
gjn-Latn,2/2,
gla-Latn,,
gle-Latn,,
glg-Latn,,
glk-Arab,5/20,"remove ""قالب بلاگ "" The classifer obsess with locations // keep the glk.wikipedia.org  https://v6rg.com https://gilakmedia.com https://www.fekrazad.com/hachin/ -- also later move the fas contents to the training of glotlid -- so it becomes robust towards glk"
glv-Latn,,
gmh-Latn,,
gmv-Ethi,2/2,
gnb-Latn,4/4,
gnd-Latn,0/3,complete noise
gng-Latn,3/3,
gnn-Latn,20/20,
gnw-Latn,1/1,
gof-Ethi,0/4,dwr: https://ebible.org/dwrENT/MRK01.htm
goh-Latn,,
gom-Deva,,
gom-Latn,20/20,
gor-Latn,20/20,
gos-Latn,,
got-Goth,2/2,
got-Latn,15/15,
grc-Grek,,
gsw-Latn,,
gub-Latn,1/1,
guc-Latn,6/6,
gug-Latn,,
gui-Latn,0/3,noise
guj-Gujr,,
guj-Latn,,
gul-Latn,,
gum-Latn,,
gur-Latn,1/1,
guw-Latn,20/20,
gux-Latn,2/2,
guz-Latn,,
gvn-Latn,1/5,change 4 of the records to gup -- out of model cousin
gwi-Latn,12/12,
gwr-Latn,1/1,
gym-Latn,1/1,
gyr-Latn,9/9,
hac-Arab,,
hag-Latn,1/1,
hak-Hani,0/2,
hak-Latn,20/20,
hat-Latn,,
hau-Latn,,
hav-Latn,0/1,noise
haw-Latn,20/20,
hbo-Hebr,,
hch-Latn,7/7,
heb-Hebr,,
heg-Latn,7/7,
her-Latn,20/20,
hif-Latn,,
hil-Latn,,
hin-Deva,20/20,
hin-Latn,,
hla-Latn,2/2,
hlt-Latn,0/5,noise
hmo-Latn,20/20,
hmr-Latn,,
hne-Deva,,
hnj-Latn,,
hns-Latn,20/20,
hot-Latn,20/20,
hra-Latn,1/1,
hrv-Latn,,
hsb-Latn,,
hto-Latn,2/2,
hub-Latn,,
hui-Latn,,
hun-Latn,,
hus-Latn,6/6,
huu-Latn,,
hvn-Latn,,
hwc-Latn,,
hye-Armn,,
hyw-Armn,,
ian-Latn,18/18,
iba-Latn,,
ibg-Latn,,
ibo-Latn,,
icr-Latn,2/3,one jam.wikipedia should be changed
ido-Latn,,
idu-Latn,1/1,
ifu-Latn,0/1,noise
ify-Latn,20/20,
ike-Cans,20/20,
ikk-Latn,1/1,
ikt-Latn,,
ikw-Latn,2/2,
ile-Latn,,
ilo-Latn,20/20,
ina-Latn,,
inb-Latn,1/1,
ind-Latn,20/20,
inh-Cyrl,,
ino-Latn,5/5,
iou-Latn,19/20,out of model cousin from mcr
ipi-Latn,20/20,
iqw-Latn,1/1,
isd-Latn,3/3,
ish-Latn,1/1,nice web: https://www.esanland.org/2021/06/esan-adage-and-meaning.html
isl-Latn,20/20,
iso-Latn,20/20,jw
ita-Latn,20/20,
itv-Latn,1/1,
ium-Latn,20/20,"bible, add http://kinhthanh.httlvn.org to the list of religous sites"
ivb-Latn,2/2,
ivv-Latn,0/1,out of model cousin: tao language 
iws-Latn,20/20,
ixl-Latn,15/15,
jac-Latn,20/20,
jae-Latn,8/8,
jam-Latn,,
jav-Latn,,
jbo-Latn,,
jiv-Latn,,
jpn-Jpan,,
jra-Latn,,
jvn-Latn,6/7,
kaa-Cyrl,19/19,
kaa-Latn,,
kab-Latn,,
kac-Latn,,
kak-Latn,1/1,
kal-Latn,,
kam-Latn,4/4,
kan-Knda,,
kan-Latn,,
kaq-Latn,19/20,amc from UDHR is part of this corpra - the rest are bible
kas-Arab,,
kas-Deva,,
kas-Latn,,
kat-Geor,,
kaz-Cyrl,,
kbc-Latn,1/1,
kbd-Cyrl,,
kbh-Latn,20/20,
kbm-Latn,10/10,
kbo-Latn,7/7,
kbp-Latn,,
kbq-Latn,4/4,
kby-Latn,4/4,
kca-Cyrl,14/15,
kcg-Latn,2/2,
kck-Latn,3/3,
kdc-Latn,9/9,
kde-Latn,,
kdi-Latn,2/2,
kdl-Latn,20/20,
kea-Latn,,
kek-Latn,7/7,
kew-Latn,9/9,
kgk-Latn,,
kgr-Latn,2/2,
kha-Latn,,
khk-Cyrl,,
khm-Khmr,,
khz-Latn,8/8,
kij-Latn,,
kik-Latn,20/20,
kin-Latn,,
kir-Cyrl,,
kiu-Latn,,
kix-Latn,,
kjb-Latn,,
kjh-Cyrl,,
kjs-Latn,,
kkc-Latn,,
kkl-Latn,,
klt-Latn,,
klv-Latn,,
kmb-Latn,,
kmd-Latn,,
kmg-Latn,,
kmh-Latn,,
kmk-Latn,,
kmm-Latn,,
kmr-Cyrl,,
kmr-Latn,,
kms-Latn,,
kmu-Latn,,
kmy-Latn,,
knc-Arab,,
knc-Latn,,
kne-Latn,,
kng-Latn,,
knv-Latn,,
kog-Latn,,
koi-Cyrl,,
kor-Hang,20/20,
kos-Latn,,
kpe-Latn,,
kpf-Latn,,
kpg-Latn,,
kpj-Latn,,
kpr-Latn,,
kpv-Cyrl,20/20,
kpw-Latn,,
kpx-Latn,,
kqc-Latn,,
kqf-Latn,,
kqn-Latn,,
kqw-Latn,,
krc-Cyrl,,
kri-Latn,,
krl-Latn,,
kru-Deva,,
ksd-Latn,,
ksh-Latn,,
ksr-Latn,,
ksw-Mymr,,
ktm-Latn,,
kto-Latn,,
ktu-Latn,,
ktz-Latn,,
kua-Latn,,
kum-Cyrl,,
kup-Latn,,
kvg-Latn,,
kwf-Latn,,
kwj-Latn,,
kwn-Latn,,
kwy-Latn,,
kyc-Latn,,
kyg-Latn,,
kyq-Latn,,
kyu-Kali,,
kyu-Latn,,
kyz-Latn,,
kze-Latn,,
kzf-Latn,,
kzj-Latn,,
lad-Latn,,
laj-Latn,,
lam-Latn,,
lao-Laoo,,
lat-Latn,,
lbb-Latn,,
lbe-Cyrl,,
lbj-Tibt,13/13,
lbk-Latn,,
lcm-Latn,,
leu-Latn,10/10,
lew-Latn,,
lex-Latn,6/6,
lez-Cyrl,20/20,
lfn-Cyrl,,
lfn-Latn,,
lgg-Latn,1/1,
lgl-Latn,9/9,
lhi-Latn,,
lhu-Latn,0/1,all is NOISE
lia-Latn,1/1,
lid-Latn,,
lif-Deva,20/20,
lif-Limb,,
lij-Latn,,
lim-Latn,,
lin-Latn,,
lis-Lisu,1/1,
lit-Latn,,
liv-Latn,20/20,
ljp-Latn,,
lki-Arab,,
lld-Latn,,
llg-Latn,,
lmk-Latn,1/1,
lmo-Latn,,
lnd-Latn,2/2,
loz-Latn,,
lrc-Arab,,
lsi-Latn,5/5,
ltg-Latn,,
ltz-Latn,,
lua-Latn,2/2,
lub-Latn,6/6,
lud-Latn,,
lue-Latn,13/13,
lug-Latn,,
lun-Latn,1/1,
luo-Latn,,
lus-Latn,,
lvs-Latn,,
lwg-Latn,1/1,
lww-Latn,20/20,
lzh-Hani,,
maa-Latn,,
mad-Latn,,
mag-Deva,,
mah-Latn,,
mai-Deva,,
mak-Latn,,
mal-Latn,,
mal-Mlym,,
mam-Latn,10/10,
mar-Deva,,
mar-Latn,,
mas-Latn,15/15,
mau-Latn,,
maw-Latn,,
maz-Latn,5/5,
mbb-Latn,,
mbf-Latn,,
mbh-Latn,5/5,
mbs-Latn,,
mbt-Latn,3/3,
mcd-Latn,2/2,
mck-Latn,1/1,
mcq-Latn,,
mdf-Cyrl,,
mdy-Ethi,,
med-Latn,,
mej-Latn,2/2,
mek-Latn,5/5,
men-Latn,,
met-Latn,,
meu-Latn,,
mfe-Latn,,
mfi-Latn,,
mfq-Latn,10/10,
mfy-Latn,,
mgh-Latn,,
mhi-Latn,,
mhr-Cyrl,,
mhw-Latn,9/9,
mhx-Latn,4/4,
mic-Latn,,
mie-Latn,,
mif-Latn,2/2,
min-Latn,,
mip-Latn,7/7,
miq-Latn,1/1,
mjc-Latn,4/4,
mjw-Latn,,
mkd-Cyrl,,
mkn-Latn,15/15,
