codes,https://huggingface.co/datasets/cis-lmu/GlotCC-V1,comment (https://iso639-3.sil.org/code/prs)
trn-Latn,1/1,
trp-Latn,,
trq-Latn,9/9,
trv-Latn,3/3,
tsg-Latn,2/2,
tsn-Latn,,
tso-Latn,,
tsz-Latn,,
ttc-Latn,6/6,
tte-Latn,6/6,
ttq-Latn,5/5,
tuc-Latn,20/20,
tuf-Latn,5/5,
tui-Latn,1/1,
tuk-Arab,1/1,
tuk-Cyrl,1/2,remove https://vsememy.ru
tuk-Latn,,
tum-Latn,20/20,
tur-Latn,20/20,
tvk-Latn,20/20,
tvl-Latn,13/13,
twb-Latn,0/10,tag word as noise
twi-Latn,,
twu-Latn,3/3,
txu-Latn,1/1,
tyv-Cyrl,,
tzh-Latn,2/2,
tzj-Latn,14/14,
tzm-Tfng,,
tzo-Latn,20/20,
ubr-Latn,20/20,
ubu-Latn,20/20,
udm-Cyrl,,
uig-Arab,,
uig-Cyrl,,
uig-Latn,,
ukr-Cyrl,20/20,
umb-Latn,15/15,
und-Dsrt,3/3,
und-Gran,3/3,
und-Hung,20/20,from mki.gov.hu -- change the name to hun-Hung
und-Mong,20/20,change to mvf-Mong
und-Newa,,
und-Shaw,,
und-Sylo,20/20,change name to syl-Sylo
upv-Latn,,
urd-Arab,20/20,
urd-Latn,16/20,
urh-Latn,,
usa-Latn,,
usp-Latn,1/1,
uvh-Latn,13/13,
uvl-Latn,5/5,
uzn-Cyrl,20/20,
uzn-Latn,20/20,
uzs-Arab,17/20,remove https://sudeasaran.ir https://turkmensnews.com/ https://elioshop.co https://bbrouzi.com https://irancooling.com
vap-Latn,1/1,
vec-Latn,,
ven-Latn,,
vep-Latn,,
vid-Latn,1/1,
vie-Latn,,
vls-Latn,,
vmw-Latn,,
vmy-Latn,,
vol-Latn,,
vro-Latn,,
vun-Latn,1/1,
waj-Latn,1/1,
wal-Latn,8/9,check https://www.suomisanakirja.fi/riimit/suututtaa
war-Latn,,
wat-Latn,2/2,
way-Latn,2/2,
wbm-Latn,2/2,
wbp-Latn,4/4,
wed-Latn,1/1,
wes-Latn,,
wln-Latn,,
wls-Latn,17/17,
wlv-Latn,2/2,
wlx-Latn,,
wmw-Latn,14/14,
wnc-Latn,2/2,
wnu-Latn,,
wol-Latn,,
wos-Latn,8/8,
wrs-Latn,20/20,
wsg-Telu,2/2,
wsk-Latn,20/20,
wuu-Hani,,
wuv-Latn,9/9,
xal-Cyrl,,
xbi-Latn,,
xho-Latn,,
xla-Latn,1/1,
xmf-Geor,20/20,
xmm-Latn,,
xmv-Latn,,
xog-Latn,,
xon-Latn,1/1,
xsm-Latn,,
xsr-Deva,1/1,
xtd-Latn,1/1,
xtm-Latn,2/2,
xtn-Latn,6/6,
yaa-Latn,1/1,
yal-Latn,,
yao-Latn,,
yap-Latn,,
yby-Latn,1/1,
ydd-Hebr,20/20,
yka-Latn,,
yle-Latn,,
yli-Latn,4/4,
yml-Latn,,
yom-Latn,,
yon-Latn,1/1,
yor-Latn,,
yrk-Cyrl,,
yrl-Latn,4/4,
yss-Latn,20/20,
yua-Latn,,
yue-Hani,,
yuj-Latn,,
yut-Latn,16/16,
yuw-Latn,2/2,
yva-Latn,3/3,
zac-Latn,18/18,
zai-Latn,6/6,
zam-Latn,,
zao-Latn,14/14,
zas-Latn,19/19,
zat-Latn,20/20,
zdj-Latn,,
zea-Latn,,
zgh-Tfng,,
zia-Latn,11/11,
zom-Latn,,
zos-Latn,1/1,
zpm-Latn,4/5,it seems noise: http://www.bangmywifeplease.com/zi_z/
zpo-Latn,8/8,
zpt-Latn,13/13,
zpu-Latn,3/3,
zsm-Latn,,
zul-Latn,,
zyb-Latn,20/20,
zyp-Latn,4/5,out of model cousin from mrh: https://newchristianbiblestudy.org/bible/mara/luke/15/
entries,657,
